date,close,open,high,low,volume,change_percent,avg_vol_20d
20160620,5985.5691,5965.8246,5994.9995,5908.4815,74530145.0,0.33096011572314393,73534070.4
20160621,5916.8032,6023.9225,6053.4091,5888.3583,88140686.0,-1.7782317086582604,75144300.9
20160622,6008.8857,5901.1504,6009.0569,5895.9138,72417145.0,1.8256660599600947,75626268.55
20160623,5978.1737,5998.6728,6015.182,5933.6833,77979556.0,-0.3417272567358566,76627425.55
20160624,5903.6202,5967.5154,6011.3713,5748.8387,98419868.0,-1.0707169687404565,78883271.15
20160627,6044.2191,5864.726,6044.3229,5864.6141,84047907.0,3.0605538945894595,80102380.15
20160628,6107.5105,6018.912,6111.0708,6012.0512,94952723.0,1.472001916625464,81850781.1
20160629,6120.2021,6130.576,6145.0001,6100.084,93055218.0,-0.16921574742731507,84059141.85
20160630,6123.4939,6127.9892,6143.2323,6090.9036,77299661.0,-0.0733568525218613,83162221.3
20160701,6111.5385,6133.7178,6163.4256,6095.85,73814433.0,-0.36159635515022703,82127243.6
20160704,6231.8811,6079.5844,6240.603,6078.6278,100078191.0,2.505051167642313,83068887.75
20160705,6269.5046,6244.387,6276.8212,6226.2952,107928800.0,0.40224284625537293,84223152.05
20160706,6297.3969,6250.4887,6299.7335,6231.5408,95069622.0,0.7504725190527879,85298992.15
20160707,6319.7926,6291.0571,6342.4345,6256.272,112453597.0,0.4567674326147791,87441759.1
20160708,6299.8533,6308.0623,6337.0713,6276.8299,88064741.0,-0.1301350495539626,88170088.0
20160711,6312.4988,6320.0629,6387.0702,6306.1335,103662866.0,-0.11968393542411736,88996238.45
20160712,6395.1448,6309.819,6395.4352,6248.934,116873788.0,1.3522701681300147,91738292.65
20160713,6446.5634,6413.8122,6456.7724,6392.3995,112122081.0,0.5106354688713788,92800466.45
20160714,6455.5827,6437.277,6458.288,6410.3989,95271581.0,0.2843702391554672,92762472.5
20160715,6441.0159,6459.6255,6469.0454,6409.7969,93192904.0,-0.2880910046565358,92968775.65
20160718,6412.0731,6426.8558,6455.459,6379.0647,89330628.0,-0.2300144963576226,93708799.8
20160719,6431.9383,6407.0339,6431.9383,6355.4787,80961872.0,0.38870404603289893,93349859.1
20160720,6417.9223,6429.689,6454.179,6404.1539,74820308.0,-0.18300574102417905,93470017.25
20160721,6442.7093,6414.8007,6487.0216,6405.6019,87437926.0,0.4350657378958112,93942935.75
20160722,6390.9254,6437.8833,6448.3659,6385.2522,86445493.0,-0.7293996770646702,93344217.0
20160725,6408.7831,6383.5616,6441.3161,6374.2552,81090039.0,0.3951007537860941,93196323.6
20160726,6494.4743,6410.8227,6494.7395,6410.8227,81556556.0,1.3048496880127436,92526515.25
20160727,6229.2885,6499.3377,6515.8778,6154.4592,138527893.0,-4.155026442155797,94800149.0
20160728,6243.2883,6220.9168,6273.3798,6148.8585,91318712.0,0.35961741201875896,95501101.55
20160729,6202.8923,6239.8538,6259.1994,6183.1647,72681332.0,-0.5923456091230764,95444446.5
20160801,6109.2782,6179.2019,6179.2019,6046.4023,72910221.0,-1.131597593533888,94086048.0
20160802,6168.5088,6100.7491,6168.6819,6099.2499,55805056.0,1.1106783591542817,91479860.8
20160803,6198.3885,6154.4741,6203.6148,6140.8294,68686951.0,0.7135361898752592,90160727.25
20160804,6238.2309,6194.2028,6245.3048,6174.2398,70556394.0,0.7107952616598142,88065867.1
20160805,6203.2872,6231.5257,6251.3982,6202.8622,67543356.0,-0.4531554768361203,87039797.85
20160808,6290.7562,6191.6474,6290.8999,6152.5791,77047880.0,1.6006854653900344,85709048.55
20160809,6341.5497,6283.2888,6341.7233,6281.0723,78165122.0,0.9272357495329406,83773615.25
20160810,6318.2681,6336.5359,6366.089,6314.5125,77197424.0,-0.2882931666180511,82027382.4
20160811,6226.3129,6304.7771,6318.9779,6226.3129,70684527.0,-1.2445198102245414,80798029.7
20160812,6299.0915,6218.3533,6299.0915,6204.9613,68635478.0,1.2983855388210361,79570158.4
20160815,6442.5272,6309.4141,6451.929,6289.7246,117981468.0,2.1097537408426006,81002700.4
20160816,6468.8946,6449.9066,6488.7007,6446.2363,109712840.0,0.2943918598759147,82440248.8
20160817,6488.3648,6462.0466,6502.1391,6437.2631,95788508.0,0.4072734480125943,83488658.8
20160818,6490.408,6485.9268,6527.1975,6466.3975,110415535.0,0.06909112819466559,84637539.25
20160819,6499.5548,6485.7195,6516.9793,6451.612,91827099.0,0.21331943202291948,84906619.55
20160822,6420.3544,6499.7527,6508.7968,6419.5628,92369153.0,-1.2215587833057069,85470575.25
20160823,6428.6978,6414.9819,6448.5425,6380.915,80572963.0,0.2138104240013545,85421395.6
20160824,6435.0586,6432.8787,6466.6253,6415.6998,73862344.0,0.03388685068785906,82188118.15
20160825,6382.5704,6398.5641,6398.5641,6312.6532,79722431.0,-0.24995764284052405,81608304.1
20160826,6410.7335,6395.772,6460.8679,6395.7304,74785794.0,0.2339279761692622,81713527.2
20160829,6427.5291,6409.1178,6442.3982,6398.7765,68956570.0,0.2872673053380257,81515844.65
20160830,6425.7543,6428.9659,6459.7148,6413.7103,61588352.0,-0.04995515686279413,81805009.45
20160831,6434.2103,6422.8012,6441.106,6390.699,65277005.0,0.17763433188621583,81634512.15
20160901,6381.4755,6434.2608,6445.4324,6380.9005,71886109.0,-0.8203786206490179,81700997.9
20160902,6356.9538,6371.4921,6403.5722,6320.4791,67506963.0,-0.22817732129025414,81699178.25
20160905,6391.7923,6372.624,6419.7461,6372.624,65434639.0,0.3007913223814911,81118516.2
20160906,6492.9722,6392.6082,6493.3473,6345.6948,86826087.0,1.570000801863635,81551564.45
20160907,6494.3159,6490.3301,6529.8114,6483.0878,93190209.0,0.061411360263470605,82351203.7
